Ref Des,Mid X (mm),Mid Y (mm),Rotation,Comment,LCSC Part Number
BOOT_BUTTON,-76.03,57.43,180,BUTTON_CUSYOMV1,MYBUTTON
C1,50.06,-43.85,90,100nF,EAGLE-LTSPICE_C0402
C10,-47.14,57.25,90,100nF,EAGLE-LTSPICE_C0402
C10_SUPERCAP,-2.25,-0.96,270,CPH3225A,CAPCP3225X100N
C1_BAT,28.76,5.36,270,4.7uF,EAGLE-LTSPICE_C0402
C1_BAT1,35.28,-6.48,270,4.7uF,EAGLE-LTSPICE_C0402
C1_BAT2,22.18,-9.48,180,4.7uF,EAGLE-LTSPICE_C0402
C2,54.83,-46.06,0,100nF,EAGLE-LTSPICE_C0402
C2_BAT,31.46,5.35,270,4.7uF,EAGLE-LTSPICE_C0402
C3,20.08,-20.55,180,100uF TANT,RCL_CT3528
C4,-37.1,-29.05,270,4.7uF/25V,EAGLE-LTSPICE_C0402
C4_USB,62.82,-37.67,90,100nF,EAGLE-LTSPICE_C0402
C5,-39.72,57.23,90,1uF,EAGLE-LTSPICE_C0402
C5_USB,65.32,-37.66,90,4.7uF,EAGLE-LTSPICE_C0402
C6,-71.94,57.21,90,100nF,EAGLE-LTSPICE_C0402
C7,-29.8,-7.14,180,10uF,EAGLE-LTSPICE_C0402
C8,-6.44,-1.21,90,100nF,EAGLE-LTSPICE_C0402
C9,-79.06,38.33,270,100nF,EAGLE-LTSPICE_C0402
CHANGE_BUTTON,-51.07,57.42,180,BUTTON_CUSYOMV1,MYBUTTON
CHG_LED,69.6,-37.74,180,,ADAFRUIT_CHIP-LED0603
C_DELAY,-30.9,48.47,90,100nF,EAGLE-LTSPICE_C0402
D1,53.58,2.78,0,USBLC6-2SC6Y,SOT95P280X145-6N
D10,-93.18,-13.18,90,PGB1010603MR,DIOC1608X36N
D11,-84.38,-13.1,90,PGB1010603MR,DIOC1608X36N
D12,-88.92,17.72,270,PGB1010603MR,DIOC1608X36N
D2,35.21,-11.11,90,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0
D3,-44.28,-31.54,90,MBR0530,SOD3716X135N
D4,-30.28,-31.81,0,MBR0530,SOD3716X135N
D5,-30.26,-27.29,180,MBR0530,SOD3716X135N
D6,-79.88,-13.12,90,PGB1010603MR,DIOC1608X36N
D7,-12.6,-7.4,90,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0
D8,-88.68,-13.14,90,PGB1010603MR,DIOC1608X36N
D9,-75.38,-13.06,90,PGB1010603MR,DIOC1608X36N
EPD_C1,-6.08,-26.85,90,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C10,-18.6,-26.79,90,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C11,-20.3,-26.81,90,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C12,-22,-26.85,90,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C2,-7.86,-26.82,90,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C5,-9.66,-26.81,90,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C6,-11.46,-26.8,90,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C7,-13.26,-26.79,90,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C8,-15.06,-26.78,90,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C9,-16.86,-26.77,90,1uF/50V,EAGLE-LTSPICE_C0402
IC1,-36.35,48.48,0,BD5229G-TR,SOT95P280X125-5N
IC4,19.88,-13.7,0,XC6220A331MR-G,SOT95P280X120-5N
J1,-14.16,-37.55,0,FH34SRJ-24S-0.5SH_99_,FH34SRJ24S05SH99
J2,65.9,3.1,90,SAMACSYS_PARTS_USB4110-GF-A,SAMACSYS_PARTS_USB4110GFA
J3,67.16,-31.92,90,QWIIC_RIGHT_ANGLE,JST04_1MM_RA
J4,-91.53,37.73,270,112A-TAAR-R03_ATTEND,112ATAARR03ATTEND
L1,-30.06,-12.9,90,744043680IND_4828-WE-TPC_WRE,IND_4828-WE-TPC_WRE
MCP73831,30.1,0.98,90,ESP32_WROVER_SPARKFUN-IC-POWER_MCP73831,ESP32_WROVER_SPARKFUN-IC-POWER_SOT23-5
PFMF.050.1,52.75,-2.55,180,ESP32C6_VARISTORCN1812,ESP32C6_VARISTOR_CT/CN1812
Q1,39.67,-11.23,270,20V/4.2A/52mΩ/1.4W,ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
Q2,-60.95,9.17,0,20V/4.2A/52mΩ/1.4W,ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
Q3,-37.09,-35.01,90,SI1308EDL-T1-GE3,SOT65P210X110-3N
R1,-71.02,-13.21,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R10,-86.66,-13.14,270,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_BAT,31.44,-3.44,90,200,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PINH,-79.44,14.38,0,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PINH1,-13.9,11.81,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PWRUSB,38.65,-6.52,270,100K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2,-38.12,-44.85,90,2.2,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH,-81.38,16.48,0,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH1,-11.03,12.8,180,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB,60.26,5.49,90,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,60.32,1.3,90,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
